name,population,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10
Belgium,11589623.0,1.725681672302887e-05,6.902726689211548e-05,0.00011216930869968764,0.00019845339231483198,0.00043142041807572173,0.0009404965114050733,0.0014582010130959394,0.001725681672302887,0.0020621895984019494,0.002303785032524354,0.0027093202255155323,0.0027093202255155323,0.004823280274086569,0.005944973361083445,0.007644769808301788,0.009128856046482272,0.010725111593362441,0.012821814825210448,0.01548799300891841,0.01947431767193808,0.02428896953766313,0.02934521683751059,0.03229613249714852,0.03683467529530512,0.04259845208079676,0.0537981261340425,0.06284932650527114,0.07881188197407284,0.0934974330053704,0.10266943109366025,0.1102279168183469,0.12048709436018755,0.13242881153252353,0.14469840822259705,0.15903019451107253,0.16990198904658071,0.17959169163656144,0.19149889517545135,0.2019306408845223,0.2155635260957151,0.23009376577650542
Russia,145934462.0,1.3704782082247303e-06,2.0557173123370956e-06,2.0557173123370956e-06,2.0557173123370956e-06,2.7409564164494606e-06,8.908108353460747e-06,8.908108353460747e-06,1.1649064769910208e-05,1.1649064769910208e-05,1.3704782082247304e-05,1.3704782082247304e-05,1.9186694915146225e-05,3.083575968505643e-05,4.042910714262955e-05,4.317006355907901e-05,6.167151937011286e-05,7.811725786880964e-05,0.00010073014830451768,0.0001363625817183607,0.00017336549334042838,0.00020968316585838375,0.000251482751209238,0.00030013472760121595,0.00033919335653562075,0.0004508873305059363,0.0005756008474543867,0.0007099077118604103,0.0008661422275980295,0.001051156785708368,0.0012580989951503025,0.0016014037863105973,0.0019029089921200383,0.0024312283413906715,0.002843057042962203,0.0032418662015555994,0.003692753532061536,0.004346471637384732,0.005137237563530402,0.00594239351086243,0.006942157363762372,0.008165994403707057
Canada,37742154.0,6.358937542356485e-05,7.153804735151047e-05,7.948671927945607e-05,8.743539120740167e-05,9.803362044466249e-05,0.0001298283081564449,0.00014307609470302093,0.00016957166779617294,0.00020401591281727057,0.00020931502743590097,0.00028615218940604187,0.0003099982051898787,0.0005060654460792036,0.0005193132326257796,0.0006623893273288006,0.0010942671687471787,0.001245291935378145,0.001716913136436251,0.002095799831668325,0.0024720369695910836,0.003356989110902361,0.003857755442362935,0.005497831416829045,0.007357820647968317,0.008579266567562626,0.01067506639923095,0.012370783077192679,0.01473948731172047,0.016604775657478373,0.01956698072929277,0.022558330931509635,0.025295323632032234,0.029863160433291645,0.03291810001093207,0.0343515105152716,0.041711980720549234,0.0438501734691666,0.0473184439870602,0.05068073221258119,0.05468951242157509,0.05841214044116295
Israel,8655535.0,0.00011553300864706804,0.00011553300864706804,0.00013863961037648164,0.00017329951297060205,0.00023106601729413608,0.0004274721319941517,0.0004967919371823926,0.0007047513527471149,0.0007047513527471149,0.0008664975648530102,0.0009127107683118374,0.0011553300864706802,0.0014557159089530571,0.0017907616340295546,0.002460853084182549,0.002518619588506083,0.002888325216176701,0.003512203462870868,0.004933259469229805,0.006111696157429899,0.008225950215671244,0.010201564663536106,0.012373585226100988,0.014302986470507022,0.027369769748490418,0.031113039228655423,0.03506426812438515,0.04181139582937392,0.049066868772409795,0.054242747559798445,0.061902586033099054,0.07038270886779384,0.07922098402929455,0.08581791882304213,0.09070496508881311,0.09739432628947835,0.10287059089934937,0.10684492639680852,0.10864724133170277,0.11516330301939741,0.1202467553998684
Iran,83992949.0,0.0011643834531872431,0.0017870547681329775,0.0027811858350157465,0.0034788634460256895,0.00418249393767565,0.005651664879631741,0.006932724793363309,0.007817322856469773,0.008525715652631747,0.009574613221402668,0.010715185152029846,0.01199505448963341,0.013529707118629684,0.015154843533354211,0.01659425007211022,0.017847926734897712,0.01925042541368562,0.02066959215826557,0.02191493478815704,0.023387677458497142,0.024537773998148344,0.025761686257735752,0.02744158917434843,0.029539384311890272,0.03216579525026559,0.03501008162006551,0.03849370737060322,0.04215591954034142,0.04560978088767904,0.049402956431497606,0.05310564818958791,0.056663089660061824,0.06008599602807136,0.06331841021560036,0.06636628510328885,0.06932248562912108,0.07202985574420062,0.07451696927559956,0.07689454980322218,0.0788399511963796,0.08118776732080213
Austria,9006398.0,0.0001554450513956856,0.00019985792322302432,0.0002331675770935284,0.0003219933207482059,0.00045523193623022215,0.0006106769876259077,0.0008771542185899402,0.0011547346675108072,0.0014545215523453438,0.002020785668143913,0.0027313916173813324,0.0033531718229640748,0.005596021850244682,0.007272607761726719,0.00954876744287783,0.01130307588005771,0.014789486318503802,0.01827589675694989,0.02235077774710822,0.02651448448092123,0.031244455330532803,0.03977172672138185,0.04967579713887839,0.058658300465957644,0.06204478194279222,0.07671213286377085,0.08501733989548318,0.09183471572097969,0.09757507940466321,0.10679075030883602,0.11303075880057709,0.11892656753565631,0.12356771264161323,0.12795348373456292,0.13080701074946943,0.1338048795978148,0.13653627121519613,0.1403335717564336,0.1436978467973545,0.14705101862031858,0.15050411940489417
Germany,83783942.0,0.0001551609973185554,0.00018977383518192542,0.0002339350421110527,0.0003127090869035501,0.0005752892362118746,0.0007996759092571701,0.0009536433604425058,0.0012412879785484432,0.0014036102526663163,0.00173899671610104,0.002277286022183105,0.002480188864830447,0.004386282039582239,0.0054724090208121265,0.006916599842007911,0.008679467480773344,0.011048656555214363,0.014712843184198708,0.01828512676092514,0.023689503652143746,0.026512240257208233,0.029687072971572526,0.03467967644683035,0.0393703127503836,0.04454672233015725,0.05244203000140528,0.06071688534301716,0.0688616441561081,0.07411324714227459,0.07983033312039675,0.08570616073423712,0.09294382448608111,0.10120555082022759,0.1088024719581707,0.11469023503334326,0.11950141949635171,0.12338163797544881,0.12850075734082791,0.13522400270925425,0.14105447557003226,0.1458167246415787
Spain,46754778.0,0.00017966078247660591,0.0002566582606808656,0.0003529051084361902,0.0004748177822596014,0.0005539540793028683,0.0008555275356028853,0.0010694094195036067,0.0014394250786518546,0.0022949526142547402,0.0036252979321172263,0.004870090496419425,0.004870090496419425,0.011190300165685741,0.013669191200095101,0.01667850930657825,0.021264136897409715,0.025126843720656742,0.02975097005059034,0.03841960280508657,0.04365329250413722,0.05427038922096903,0.061529540360559506,0.07514953872735744,0.0853067893938027,0.10590361481344218,0.12359378543087082,0.14056103528071506,0.15663639767469328,0.17134077719286786,0.18812194980371846,0.2051619194940889,0.22268953987975307,0.23968673319334335,0.25494506679082085,0.2698504952798621,0.2815669448799436,0.2923230648213109,0.3035882236463619,0.3170157283176492,0.3277141001503633,0.3385172741061887
Netherlands,17134872.0,5.836051766246051e-05,0.00010504893179242892,0.00014006524238990522,0.0002217699671173499,0.0004785562448321761,0.0007470146260794945,0.0010971777320542577,0.0015465537180552036,0.0018733726169649825,0.0022293717747059916,0.0029355340384217632,0.0029355340384217632,0.004703857723594317,0.005614281799128701,0.006641426909988005,0.008263849301004407,0.009985484572046992,0.012010594534934372,0.014397539707329007,0.017525663454036892,0.021243228429135626,0.024610630298259595,0.027802950614396187,0.032565168855652964,0.037572501271092074,0.04358363459032551,0.0504643396227296,0.05730419229276997,0.06378804580506933,0.06896462372172958,0.07392526772303873,0.07993056499050591,0.08630353351924659,0.09233217499377877,0.09761963789399769,0.10477463735941535,0.11045311572797276,0.11502274426094342,0.12070122262950082,0.12782704183608723,0.13568236751345442
US,331002651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002694842465174093,0.0003667644341615862,0.00048217136484505075,0.0006380613549829243,0.0008030147166404417,0.0010365475894632639,0.0013791430329057998,0.001919319975476571,0.0023307970424684,0.004111145321310432,0.005747688105374117,0.007684228486738011,0.010200824645359109,0.013167870368506506,0.01621104841241891,0.019849085740403935,0.025304631170461535,0.030688575965513942,0.03665015963875166,0.042524432833016795,0.0488452281308164,0.056802566212679664,0.06441458983964451,0.07354654087045363,0.08320960547231387,0.0932599781504469,0.10178528751420785,0.11072630351833647,0.11965553713948955,0.12957267825628382,0.13935658781173932,0.14996012826495458
