name,population,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10
Belgium,11589623.0,0.00017256816723028868,0.0006902726689211547,0.0011216930869968763,0.0019845339231483196,0.004314204180757218,0.009404965114050734,0.014582010130959394,0.01725681672302887,0.020621895984019496,0.02303785032524354,0.02709320225515532,0.02709320225515532,0.048232802740865686,0.05944973361083446,0.07644769808301789,0.09128856046482271,0.10725111593362442,0.12821814825210448,0.1548799300891841,0.1947431767193808,0.24288969537663133,0.2934521683751059,0.3229613249714852,0.3683467529530512,0.4259845208079676,0.537981261340425,0.6284932650527114,0.7881188197407284,0.9349743300537041,1.0266943109366025,1.102279168183469,1.2048709436018754,1.3242881153252353,1.4469840822259705,1.5903019451107252,1.6990198904658071,1.7959169163656143,1.9149889517545136,2.0193064088452233,2.155635260957151,2.300937657765054
Russia,145934462.0,1.3704782082247304e-05,2.0557173123370955e-05,2.0557173123370955e-05,2.0557173123370955e-05,2.740956416449461e-05,8.908108353460748e-05,8.908108353460748e-05,0.00011649064769910208,0.00011649064769910208,0.00013704782082247304,0.00013704782082247304,0.00019186694915146227,0.00030835759685056435,0.00040429107142629547,0.0004317006355907901,0.0006167151937011287,0.0007811725786880963,0.0010073014830451767,0.0013636258171836068,0.0017336549334042838,0.0020968316585838376,0.00251482751209238,0.0030013472760121594,0.0033919335653562078,0.004508873305059363,0.005756008474543868,0.007099077118604104,0.008661422275980294,0.010511567857083681,0.012580989951503025,0.016014037863105974,0.019029089921200382,0.024312283413906715,0.02843057042962203,0.032418662015555995,0.03692753532061536,0.04346471637384732,0.051372375635304016,0.05942393510862431,0.06942157363762372,0.08165994403707057
Canada,37742154.0,0.0006358937542356486,0.0007153804735151047,0.0007948671927945607,0.0008743539120740167,0.0009803362044466248,0.001298283081564449,0.0014307609470302093,0.0016957166779617294,0.0020401591281727057,0.0020931502743590097,0.0028615218940604187,0.0030999820518987867,0.005060654460792036,0.005193132326257796,0.0066238932732880056,0.010942671687471785,0.012452919353781452,0.01716913136436251,0.02095799831668325,0.02472036969591084,0.03356989110902361,0.03857755442362935,0.05497831416829045,0.07357820647968318,0.08579266567562625,0.10675066399230951,0.12370783077192678,0.1473948731172047,0.16604775657478374,0.1956698072929277,0.22558330931509635,0.25295323632032235,0.29863160433291647,0.3291810001093208,0.343515105152716,0.4171198072054923,0.438501734691666,0.473184439870602,0.5068073221258119,0.5468951242157509,0.5841214044116294
Israel,8655535.0,0.0011553300864706804,0.0011553300864706804,0.0013863961037648164,0.0017329951297060206,0.002310660172941361,0.004274721319941516,0.004967919371823925,0.00704751352747115,0.00704751352747115,0.008664975648530103,0.009127107683118373,0.011553300864706803,0.014557159089530572,0.017907616340295546,0.02460853084182549,0.025186195885060828,0.028883252161767008,0.03512203462870868,0.04933259469229805,0.06111696157429899,0.08225950215671243,0.10201564663536107,0.12373585226100987,0.14302986470507023,0.2736976974849042,0.3111303922865542,0.3506426812438515,0.4181139582937392,0.49066868772409794,0.5424274755979844,0.6190258603309905,0.7038270886779384,0.7922098402929455,0.8581791882304213,0.907049650888131,0.9739432628947835,1.0287059089934938,1.0684492639680852,1.0864724133170278,1.1516330301939741,1.202467553998684
Iran,83992949.0,0.011643834531872432,0.017870547681329774,0.027811858350157464,0.034788634460256894,0.04182493937675649,0.05651664879631742,0.0693272479336331,0.07817322856469774,0.08525715652631746,0.09574613221402667,0.10715185152029845,0.1199505448963341,0.13529707118629683,0.1515484353335421,0.1659425007211022,0.17847926734897712,0.19250425413685618,0.2066959215826557,0.2191493478815704,0.23387677458497141,0.24537773998148343,0.25761686257735755,0.2744158917434843,0.2953938431189027,0.3216579525026559,0.35010081620065514,0.3849370737060322,0.42155919540341413,0.45609780887679036,0.494029564314976,0.5310564818958792,0.5666308966006183,0.6008599602807136,0.6331841021560035,0.6636628510328885,0.6932248562912108,0.7202985574420062,0.7451696927559955,0.7689454980322218,0.788399511963796,0.8118776732080214
Austria,9006398.0,0.001554450513956856,0.001998579232230243,0.002331675770935284,0.003219933207482059,0.004552319362302221,0.006106769876259077,0.008771542185899402,0.011547346675108072,0.014545215523453437,0.020207856681439127,0.027313916173813325,0.033531718229640746,0.05596021850244681,0.0727260776172672,0.0954876744287783,0.11303075880057711,0.14789486318503803,0.18275896756949894,0.22350777747108222,0.2651448448092123,0.31244455330532805,0.39771726721381845,0.49675797138878386,0.5865830046595765,0.6204478194279222,0.7671213286377084,0.8501733989548319,0.9183471572097969,0.9757507940466322,1.0679075030883602,1.130307588005771,1.1892656753565631,1.2356771264161321,1.2795348373456292,1.3080701074946943,1.3380487959781482,1.3653627121519614,1.403335717564336,1.4369784679735451,1.470510186203186,1.5050411940489417
Germany,83783942.0,0.0015516099731855539,0.0018977383518192542,0.002339350421110527,0.0031270908690355006,0.005752892362118746,0.007996759092571701,0.009536433604425059,0.012412879785484431,0.014036102526663163,0.0173899671610104,0.022772860221831052,0.02480188864830447,0.04386282039582239,0.054724090208121266,0.0691659984200791,0.08679467480773344,0.11048656555214363,0.1471284318419871,0.1828512676092514,0.23689503652143748,0.26512240257208236,0.29687072971572526,0.3467967644683035,0.393703127503836,0.4454672233015725,0.5244203000140528,0.6071688534301717,0.6886164415610809,0.741132471422746,0.7983033312039675,0.8570616073423711,0.9294382448608112,1.0120555082022757,1.0880247195817068,1.1469023503334326,1.195014194963517,1.233816379754488,1.285007573408279,1.3522400270925423,1.4105447557003226,1.4581672464157869
Spain,46754778.0,0.0017966078247660592,0.002566582606808656,0.0035290510843619016,0.004748177822596014,0.005539540793028683,0.008555275356028853,0.010694094195036067,0.014394250786518546,0.0229495261425474,0.03625297932117226,0.04870090496419425,0.04870090496419425,0.1119030016568574,0.13669191200095102,0.1667850930657825,0.21264136897409713,0.2512684372065674,0.2975097005059034,0.3841960280508657,0.4365329250413722,0.5427038922096903,0.6152954036055951,0.7514953872735745,0.853067893938027,1.0590361481344217,1.2359378543087083,1.4056103528071506,1.5663639767469328,1.7134077719286787,1.8812194980371846,2.0516191949408893,2.2268953987975304,2.3968673319334335,2.5494506679082085,2.6985049527986207,2.815669448799436,2.9232306482131087,3.035882236463619,3.1701572831764917,3.2771410015036326,3.385172741061887
Netherlands,17134872.0,0.0005836051766246051,0.0010504893179242893,0.001400652423899052,0.002217699671173499,0.004785562448321761,0.007470146260794945,0.010971777320542575,0.015465537180552037,0.018733726169649825,0.022293717747059915,0.029355340384217634,0.029355340384217634,0.047038577235943166,0.05614281799128701,0.06641426909988005,0.08263849301004407,0.09985484572046993,0.12010594534934373,0.14397539707329007,0.1752566345403689,0.21243228429135624,0.24610630298259595,0.2780295061439619,0.32565168855652965,0.37572501271092074,0.4358363459032551,0.504643396227296,0.5730419229276997,0.6378804580506934,0.6896462372172959,0.7392526772303872,0.799305649905059,0.863035335192466,0.9233217499377877,0.9761963789399769,1.0477463735941535,1.1045311572797276,1.150227442609434,1.2070122262950083,1.2782704183608724,1.3568236751345442
US,331002651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002694842465174093,0.003667644341615862,0.004821713648450508,0.006380613549829243,0.008030147166404416,0.01036547589463264,0.013791430329057998,0.01919319975476571,0.023307970424684,0.041111453213104325,0.05747688105374117,0.07684228486738011,0.10200824645359109,0.13167870368506507,0.1621104841241891,0.19849085740403935,0.25304631170461533,0.3068857596551394,0.36650159638751656,0.425244328330168,0.4884522813081639,0.5680256621267966,0.6441458983964452,0.7354654087045362,0.8320960547231387,0.932599781504469,1.0178528751420786,1.1072630351833648,1.1965553713948955,1.2957267825628382,1.393565878117393,1.4996012826495457
