ds,yhat_v1,yhat_v2,yhat_v3
2020-01-22,-60.11501753085049,,
2020-01-23,-115.17201982079527,,
2020-01-24,-107.54603974455375,,
2020-01-25,-100.29415107954783,,
2020-01-26,-89.54231000311593,,
2020-01-27,-73.16637814634802,,
2020-01-28,-37.541628043266,,
2020-01-29,-19.290819412835816,,
2020-01-30,-74.34782158595377,,
2020-01-31,-66.7218413928835,,
2020-02-01,-59.469952410367924,,
2020-02-02,-48.718111016446095,,
2020-02-03,-32.342179088285455,,
2020-02-04,3.2825712901871746,,
2020-02-05,21.53338019585481,,
2020-02-06,-33.523621864570345,,
2020-02-07,-25.89764155908843,,
2020-02-08,-18.645752580209752,,
2020-02-09,-7.8939111900489545,,
2020-02-10,8.482021049548,,
2020-02-11,44.106771638568276,,
2020-02-12,62.35758075493373,,
2020-02-13,7.301037098069855,,
2020-02-14,14.92747580712902,,
2020-02-15,22.179823264348713,,
2020-02-16,32.932123132958864,,
2020-02-17,49.30918306592114,,
2020-02-18,84.93560914951578,,
2020-02-19,103.18809376044214,,
2020-02-20,48.13525437751704,,
2020-02-21,55.76539736058112,,
2020-02-22,63.02471493412415,,
2020-02-23,73.78398491901254,,
2020-02-24,90.17044369665014,,
2020-02-25,125.81097903825075,,
2020-02-26,144.0775729071889,,
2020-02-27,89.03689408869371,,
2020-02-28,96.67919763588277,,
2020-02-29,103.94770230502546,,
2020-03-01,114.71615938564423,,
2020-03-02,131.11118993549846,-144.47391593286667,
2020-03-03,166.75624965569997,-49.42248237175407,
2020-03-04,185.02736790327208,-20.784027630355205,
2020-03-05,129.99071233607629,-54.711837604762536,
2020-03-06,137.63703913476445,-24.226867245280758,
2020-03-07,144.9093467407337,4.757588326862546,
2020-03-08,155.68160675811632,47.747041841150214,
2020-03-09,172.07795743477985,185.31927895034715,-0.6076062029507351
2020-03-10,207.7231264123242,280.37074386861343,79.4422304024571
2020-03-11,225.99435391711225,309.00924343381416,159.49206706114208
2020-03-12,170.95777047693966,275.08147844667474,239.54190376936938
2020-03-13,178.6041694026649,305.5664938780655,319.5917404744407
2020-03-14,185.87647700862973,334.55099442727374,399.64990491276956
2020-03-15,196.64873702602642,377.5404938188579,479.7080693739904
2020-03-16,213.04508770274433,515.1127763336083,559.7693026826454
2020-03-17,248.69025668031173,610.1642564218874,639.8305360470306
2020-03-18,266.9614841850222,638.8027579264456,719.8917694114158
2020-03-19,211.92490074483786,604.8749944247911,799.9530027758011
2020-03-20,219.5712996705837,635.3600106070152,880.0142361401863
2020-03-21,226.8436072765756,664.3445117980762,960.0754695045714
2020-03-22,237.61586729393662,707.3340111896771,1040.1367028689567
2020-03-23,254.01221797064773,844.9062937044571,1120.197936233342
2020-03-24,289.65738694820243,939.9577737927011,1200.2591695977274
2020-03-25,307.9286144530396,968.5962752975114,1280.3204029621124
2020-03-26,252.89203101273833,934.668511795624,1360.3816363264975
2020-03-27,260.5384299385124,965.1535279777916,1440.4428696908828
2020-03-28,267.81073754452143,994.1380291688782,1520.504103055268
2020-03-29,278.5829975618468,1037.1275285604959,1600.565336419653
2020-03-30,294.97934823867314,1174.699811075365,1680.6265697840383
2020-03-31,330.62451721606936,1269.7512911634483,1760.6878031484237
2020-04-01,348.89574472094944,1298.3897926682525,1840.7490365128085
2020-04-02,293.8591612806365,1264.4620291663512,1920.8102698771938
2020-04-03,301.50556020646945,1294.9470453486342,2000.871503241579
2020-04-04,308.77786781243265,1323.9315465397597,2080.9327366059642
2020-04-05,319.5501278298409,1366.9210459312053,2160.9939699703496
2020-04-06,335.9464785065766,1504.4933284462138,2241.055203334735
2020-04-07,371.59164748400843,1599.5448085342618,2321.11643669912
2020-04-08,389.86287498885946,1628.1833100389938,2401.1776700635055
2020-04-09,334.8262915485359,1594.255546537131,2481.238903427891
2020-04-10,342.47269047436987,1624.740562719344,2561.3001367922757
2020-04-11,349.7449980803286,1653.725063910496,2641.361370156661
2020-04-12,360.5172580976895,1696.7145633019709,2721.4226035210463
2020-04-13,376.91360877448005,1834.286845817063,2801.483836885431
2020-04-14,412.55877775194756,1929.3383259050754,2881.5450702498165
2020-04-15,430.83000525676925,1957.9768274097355,2961.6063036142014
2020-04-16,375.7934218165957,1924.049063908097,3041.667536978587
2020-04-17,383.439820742327,1954.5340800901872,3121.7287703429724
2020-04-18,390.71212834832437,1983.5185812813647,3201.7900037073578
2020-04-19,401.48438836566106,2026.5080806728433,3281.8512370717426
2020-04-20,417.8807390424446,2164.0803631879417,3361.912470436128
2020-04-21,453.52590801976606,2259.131843275822,3441.9737038005132
2020-04-22,471.79713552465296,2287.770344780506,3522.0349371648986
2020-04-23,416.76055208449503,2253.842581278877,3602.096170529284
2020-04-24,424.4069510102839,2284.3275974610297,3682.1574038936683
2020-04-25,431.67925861622047,2313.3120986521003,3762.218637258054
2020-04-26,442.45151863357125,2356.3015980436626,3842.279870622439
2020-04-27,458.847869310286,2493.8738805584335,3922.3411039868247
