,state,fips,votes_total,per_dem,per_gop,votes_dem,votes_gop
2609,Texas,48141,254576,0.66,0.32,168801,81235
2610,Texas,48139,85566,0.32,0.66,27513,56651
2611,Texas,48143,16837,0.17,0.81,2914,13669
2612,Texas,48145,6133,0.31,0.68,1899,4177
2613,Texas,48147,14969,0.18,0.81,2638,12150
2614,Texas,48149,12924,0.21,0.79,2650,10163
2615,Texas,48151,1826,0.19,0.79,352,1448
2616,Texas,48153,2035,0.21,0.78,437,1581
2617,Texas,48155,551,0.18,0.81,99,445
2618,Texas,48157,357833,0.55,0.44,195191,157595
2619,Texas,48159,5000,0.16,0.83,803,4153
2620,Texas,48161,8678,0.19,0.8,1629,6966
2621,Texas,48163,5264,0.46,0.53,2421,2812
2622,Texas,48165,5960,0.1,0.89,572,5323
2623,Texas,48167,153843,0.38,0.61,58247,93306
2624,Texas,48169,1651,0.14,0.85,231,1411
2625,Texas,48171,15817,0.2,0.79,3163,12495
2626,Texas,48173,653,0.06,0.94,39,611
2627,Texas,48175,3978,0.22,0.77,872,3081
2628,Texas,48177,7534,0.25,0.74,1894,5568
2629,Texas,48179,7745,0.11,0.88,820,6812
2630,Texas,48181,58760,0.24,0.74,14223,43776
2631,Texas,48183,47700,0.31,0.68,14657,32352
2632,Texas,48185,12398,0.23,0.76,2831,9419
2633,Texas,48187,77382,0.37,0.61,28706,47423
2634,Texas,48189,9560,0.24,0.75,2271,7162
2635,Texas,48191,1165,0.14,0.85,167,992
2636,Texas,48193,4347,0.15,0.83,641,3613
2637,Texas,48195,2046,0.08,0.9,166,1848
2638,Texas,48197,1580,0.15,0.84,241,1330
2639,Texas,48199,27555,0.13,0.86,3449,23806
2640,Texas,48201,1633557,0.56,0.43,911913,699771
2641,Texas,48203,29462,0.27,0.72,7812,21318
2642,Texas,48205,2076,0.09,0.9,195,1866
2643,Texas,48207,2211,0.16,0.83,353,1837
2644,Texas,48209,108822,0.54,0.44,59213,47427
2645,Texas,48211,1720,0.12,0.86,206,1486
2646,Texas,48213,36197,0.19,0.8,7048,28816
2647,Texas,48215,219433,0.58,0.41,127391,89925
2648,Texas,48217,14843,0.19,0.8,2829,11869
2649,Texas,48219,8091,0.18,0.81,1481,6534
2650,Texas,48221,32582,0.17,0.81,5641,26489
2651,Texas,48223,15932,0.19,0.8,3043,12713
2652,Texas,48225,9426,0.25,0.75,2312,7050
2653,Texas,48227,10043,0.2,0.79,2017,7899
2654,Texas,48229,1157,0.32,0.67,371,771
2655,Texas,48231,38517,0.23,0.76,8879,29135
2656,Texas,48233,8741,0.11,0.88,957,7659
2657,Texas,48235,889,0.13,0.85,120,759
2658,Texas,48237,3779,0.09,0.9,331,3415
2659,Texas,48239,6210,0.16,0.82,1018,5116
2660,Texas,48241,15469,0.19,0.81,2906,12453
2661,Texas,48243,1304,0.38,0.6,501,783
2662,Texas,48245,94665,0.49,0.5,46022,47535
2663,Texas,48247,2034,0.59,0.41,1197,831
2664,Texas,48249,13507,0.45,0.55,6025,7389
2665,Texas,48251,71928,0.23,0.76,16418,54523
2666,Texas,48253,6691,0.15,0.84,989,5621
2667,Texas,48255,5229,0.23,0.76,1220,3959
2668,Texas,48257,56435,0.32,0.66,18290,37474
2669,Texas,48259,26419,0.23,0.76,6008,20064
2670,Texas,48261,194,0.34,0.65,65,127
2671,Texas,48263,462,0.1,0.89,47,411
2672,Texas,48265,27738,0.23,0.75,6510,20858
2673,Texas,48267,2292,0.12,0.87,284,1987
